Name,Component,Package,Value,Qty,
D1-D70,Diode,SOD-123(F),-,60,
"J1, J4",Mid-mount USB 2.0,SMD,0.8mm 6p,2,
"J3, J6",Crenshaw OLED,64x128,SSD1306,2,
"R1, R2",Resistor,0603,10k,2,
"SW1-SW30, SW34-SW63",Kailh Hotswap Sockets,SMD,-,60,
"SW31, SW64",Rotary Encoder,EC11,,2,
"SW32, SW65",5-way switch,10x10x9,,2,
"SW33, SW66",Reset Switch,TL3342,-,2,
"U1, U2",Pro Micro Sockets,Peelaway,12 x 2.54mm,4,
Tray-mount case,,,,,
-,Plate,-,-,2,
-,Standoff,M2 x 3H x 3.5D mm,-,10,
-,Standoff,M2 x 3.5H x 3.5D mm,-,10,
-,Screw,M2 x 3mm,,10,
-,Screw,M2 x 6mm,,10,
-,Tray,,,2,
Wired split,,,,,
-,USB C to C Cable,-,-,1,
Wireless with wired halves,,,,,
-,LiPo Battery,601230,200mAH,2,
Fully Wireless,,,,,
-,LiPo Battery,802030,400mAH,2,
OLED,,,,,
-,OLED sockets,4 x 2.54mm,315-XX-XXX-41-003000,2,
-,Standoff,M2 x 2.5H x 3.5D mm,,4,
-,Screw,M2 x 6mm,,4,
-,Screw,M2 x 3mm,,4,
