PCB,For one half,,,
Qty,Reference(s),Value,Description,LCSC Part number
8,"C1, C3, C4, C8, C9, C11, C13, C14",100n,0603 capacitor,C14663
4,"C2, C5, C6, C7",10u,0603 capacitor,C19702
2,"C10, C12",20p,0603 capacitor,C1648
1,C15,4.7u,0603 capacitor,C1705
32,"D1 - D31, D33",1N4148,SOD123 diode,C81598
1,D32,Any colour LED,0603 LED,C264479
1,F1,0.5A,1206 fuse,C69688
1,F2,1A,1206 fuse,C66453
2,"J1,J3",-,USB C mid-mount port,C168688
1,J2,OLED socket,4-pin female vertical header,C2889986
1,J4,Debug socket,6-pin male right angled header,C56816
1,J5,Trackball socket,5-pin female vertical header,C2889987
1,L1,10u,0603 inductor,C92982
1,Q1,2N7002,SOT-23 transistor,C8545
1,Q2,AO3401A,SOT-23 transistor,C15127
7,"R1, R7, R8, R10, R12, R16, R18",10k,0603 resistor,C25804
1,R2,330k,0603 resistor,C23137
1,R3,1k,0603 resistor,C21190
2,"R4, R13",100k,0603 resistor,C25803
2,"R5, R6",5k1,0603 resistor,C23186
1,R9,100,0603 resistor,C22775
1,R11,1M,0603 resistor,C22935
1,R14,200k,0603 resistor,C25811
1,R15,2k2,0603 resistor,C4190
1,R17,220,0603 resistor,C22962
30,SW1-SW30,-,Kailh hotswap socket,
1,SW31,EC11,Max 30mm knob,C470748
1,SW32,-,Momentary pushbutton,C393942
1,U1,STM32F4x1CxUx,QFN-44 MCU,C79861
2,"U2, U3",SRV0504,SOT-26 ESD protector,C384888
1,U4,XC6206P332MR,SOT-25 3.3v LDO,C5446
1,U5,LMV321,SOT-25 opamp,C90297
1,Y1,8MHz,3225 crystal,C403948
,,,,
Case,,,,
Qty,Value,Description,,
1,,Top plate,,
1,,Bottom plate,,
12,M2x8mm,Threaded standoff,,
24,M2x4mm,Panhead screw,,
,,,,
OLED,,,,
Qty,Value,Description,,
1,"SSD1306 0.96""",OLED display,,
4,M2x5mm,Threaded standoff,,
4,M2x4mm,Panhead screw,,
,,,,
Trackball,,,,
Qty,Value,Description,,
1,-,Pimoroni trackball,,
4,M2x11mm,Threaded standoff,,
4,M2x4mm,Panhead screw,,
